what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294047036258
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294047055680
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1294047055898
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1294047056086
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1294047056210
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1294047056382
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1294047056398
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1294047057256
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1294047057302
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1294047057568
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1294047057599
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1294047100172
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294047101373
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294047121450
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1294047124695
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1294047126505
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294047129359
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294048992996
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294048995523
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294049020483
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1294049020577
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294049020608
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294049097828
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1294049122117
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294049123709
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1294049123740
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294050081920
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294050085289
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294050097941
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1294050098097
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1294050098159
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1294050098175
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294050117441
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294050128907
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1294050171854
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1294050174771
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294050175816
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294050212102
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294050213397
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294050223724
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1294050223786
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1294050223833
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1294050223833
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1294050238825
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294050240900
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294057279170
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294057279716
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294060764380
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294060771572
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294060779528
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1294060779606
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1294060779668
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1294060779668
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294060798809
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294060907853
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294060930239
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294061076821
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294061076868
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294061078506
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294061098209
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294061105104
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294061107257
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294061119674
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1294061119737
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1294061119784
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1294061119784
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294061135274
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294061286613
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294061286629
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294061293352
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1294061293430
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1294061293430
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1294061293461
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294061313679
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294061317517
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294061321089
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294061335254
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1294061335301
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1294061335348
