what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1294317644116
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1294317646269
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1294317834623
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1294317842408
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1294317845699
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1294317859927
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1294317861518
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1294317881252
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1294317881767
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1294317882406
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1294317883607
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1294317884263
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1294317885433
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1294317887679
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294317889286
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294317972813
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1294317979255
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294317980394
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294317993561
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1294318023091
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1294318023107
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1294318033450
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1294318039659
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294318040751
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294318047490
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294318051718
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294318095557
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1294318107429
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294318108302
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294318112093
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294318114792
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294318118318
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1294318123310
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294318125447
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294318128192
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1294318131125
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1294318133231
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1294318135665
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1294318136835
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294318137724
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294318237172
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1294318245347
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294318246657
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294318400770
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1294318511405
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1294318523324
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1294318544243
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294318545164
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294318678185
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294318741271
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1294318741318
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294319429201
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294319432025
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294319457928
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294319459940
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294319529204
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1294319556972
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1294319559250
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1294319567159
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1294319567346
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1294319567487
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1294319567658
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1294319567814
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1294319568002
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1294319568158
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1294319568360
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1294319568548
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1294319568719
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1294319568906
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1294319569328
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1294319578438
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1294319582728
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1294319585895
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1294319589748
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294319590856
